epoch,trainLoss,lr,validLoss,werScore
0,835.65448,0.000100,161.48443,335.56
1,765.20094,0.000100,151.75026,285.59
2,685.87828,0.000100,144.21304,267.78
3,639.70395,0.000100,139.33148,248.35
4,668.19236,0.000100,116.76685,161.41
5,603.98242,0.000100,114.61937,157.16
6,587.65658,0.000100,113.00956,151.86
7,570.11069,0.000100,87.89896,91.57
8,504.99503,0.000100,64.96075,86.78
9,449.34340,0.000100,64.89002,86.78
10,452.43743,0.000100,64.42114,90.53
11,472.10279,0.000100,42.69316,88.87
12,395.73341,0.000100,30.39930,92.62
13,328.77748,0.000100,29.14506,95.74
14,358.21482,0.000100,25.39813,100.00
15,287.65969,0.000100,26.34323,100.00
16,301.12249,0.000100,28.39087,100.00
17,272.85161,0.000100,30.39493,100.00
18,258.29917,0.000100,30.55381,100.00
19,251.44445,0.000100,31.63986,100.00
20,283.13517,0.000100,31.88916,100.00
21,299.97713,0.000100,31.41565,100.00
22,294.00463,0.000100,31.68893,100.00
23,274.15168,0.000100,30.36517,100.00
24,287.60315,0.000100,28.70852,100.00
25,291.49273,0.000100,26.84230,100.00
26,240.69461,0.000100,25.50509,100.00
27,254.04739,0.000100,24.81076,100.00
28,262.84143,0.000100,24.83436,100.00
29,251.74366,0.000100,24.71437,98.33
30,262.65554,0.000100,25.13032,92.62
31,264.72740,0.000100,25.47516,88.87
32,257.36278,0.000100,25.72166,88.87
33,253.81935,0.000100,25.87929,88.87
34,245.77248,0.000100,25.69526,88.87
35,247.92678,0.000020,25.74614,88.87
36,257.00435,0.000020,25.39394,88.87
37,232.46864,0.000020,25.35107,88.87
38,240.99702,0.000020,25.35597,88.87
39,238.14763,0.000020,25.22559,88.87
40,226.37475,0.000020,25.22299,88.87
41,226.83960,0.000020,25.30340,88.87
42,237.26000,0.000020,25.17463,88.87
43,243.67443,0.000020,24.85764,92.62
44,216.23798,0.000020,24.76623,93.66
45,222.73826,0.000004,24.79736,93.66
46,248.74166,0.000004,24.76104,93.66
47,228.74486,0.000004,24.76564,93.66
48,217.57686,0.000004,24.77337,93.66
49,216.89782,0.000004,24.82139,92.62
50,217.47339,0.000004,24.68719,93.66
51,229.34007,0.000004,24.68892,93.66
52,247.92719,0.000004,24.63358,93.66
53,230.56486,0.000004,24.68841,93.66
54,253.30039,0.000004,24.65093,93.66
